Restaurant,"Average Rating (Joe, Lee and Hugo)",Average Rating (all who attended),Date,City,Cuisine,Joe,Lee,Hugo,Nik,Zoe,Courtney,Randal,Victoria,Aiden,Jamie,Jos,Charlie,Oscar,Jess,Caty,Gillian,Victoria's Mum,Mum,Dad,Photos
Heroica Lounge,N/A,7,Sep-24,London,Italian,,,7,7,,,,,,,,,,,,,,,,
Farzi,N/A,7.75,Sep-24,London,Indian,,,7,8.5,,,,,,,,,,,,,,,,
Marceline,N/A,8,Sep-24,London,French,,,8,8,,,,,,,,,,,,,,,,
Crudo,N/A,8,Sep-24,London,Peruvian ,,,8,8,,,,,,,,,,,,,,,,
The Oystermen ,N/A,8.75,Sep-24,London,Seafood,,,8.5,9,,,,,,,,,,,,,,,,
Carmel,6.83,6.75,Oct-24,London,Modern European,7,7,6.5,6.5,6.5,7,,,,,,,,,,,,,,
The Devonshire,N/A,7.83,Oct-24,London,Pub,,,7.5,,,,8,8,,,,,,,,,,,,
Bentleys,N/A,9.25,Oct-24,London,Seafood,,,9,9.5,,,,,,,,,,,,,,,,
Roe,8,8,Nov-24,London,Modern European,8,8,8,,,,,,,,,,,,,,,,,
Seafood Bar,N/A,7.3,Nov-24,London,Seafood,,,8,,,,7,7,,,,,,,,,,7,7.5,
Oysteria,N/A,7.5,Nov-24,London,Seafood,,,7.5,7.5,,,,,,,,,,,,,,,,
Hawksmoor City,N/A,7.5,Nov-24,London,Steak,,,7.5,,,,,,7.5,,,,,,,,,,,
The Scallop Shell,N/A,8,Nov-24,Bath,Seafood,,,8,8,,,,,,,,,,,,,,,,
Maison Francois,N/A,8.25,Nov-24,London,French,,,8,8.5,,,,,,,,,,,,,,,,
Boisdale,N/A,8.5,Nov-24,London,British; Modern European,,,8,9,,,,,,,,,,,,,,,,
The Raven,N/A,8.75,Nov-24,Bath,Pub,,,8,9.5,,,,,,,,,,,,,,,,
The Hero,N/A,7.25,Dec-24,London,Pub,,7.5,7,,,,,,,,,,,,,,,,,
Roe,N/A,7.25,Dec-24,London,Modern European,,,7,7.5,,,,,,,,,,,,,,,,
Wright Brothers,N/A,8,Dec-24,London,Seafood,,,7.5,8.5,,,,,,,,,,,,,,,,
Meraki,N/A,8,Dec-24,London,Greek,,,8,8,,,,,,,,,,,,,,,,
Chotto Matte,N/A,8.5,Dec-24,London,Nikkei,,,8.5,8.5,,,,,,,,,,,,,,,,
Hawksmoor Canary Wharf,N/A,8.75,Dec-24,London,Steak,,,8.5,9,,,,,,,,,,,,,,,,
Fallow,N/A,5.75,Jan-25,London,Modern European,,,5.5,6,,,,,,,,,,,,,,,,
Agora,N/A,7.17,Jan-25,London,Greek,,,7,,,,7.5,7,,,,,,,,,,,,
Bread Street Kitchen,N/A,7.25,Jan-25,London,Modern European,,,7.5,7,,,,,,,,,,,,,,,,
Lita,N/A,8.5,Jan-25,London,Modern European,,8.5,,,,8.5,,,,,,,,,,,,,,"https://i.postimg.cc/W30P6ZNb/PXL-20250201-194056342-MP.jpg
https://i.postimg.cc/vB5dLnQp/PXL-20250201-195347840-MP.jpg
https://i.postimg.cc/mD7GN9L4/PXL-20250201-195351258-MP.jpg
https://i.postimg.cc/fLYhjdzn/PXL-20250201-195503448-MP.jpg
https://i.postimg.cc/gJ3Pqhzz/PXL-20250201-195707806-MP-3.jpg
https://i.postimg.cc/gJ3PqhY7/PXL-20250201-200136619-MP.jpg
https://i.postimg.cc/DZ1KdG2M/PXL-20250201-204010211-MP.jpg
https://i.postimg.cc/LXjMBPHw/PXL-20250201-204456240-MP.jpg
https://i.postimg.cc/RFwzQtSB/PXL-20250201-213040764-MP.jpg
https://i.postimg.cc/MT18bB6q/PXL-20250201-213116584-MP.jpg"
Silva,7.83,7.83,Feb-25,London,Modern European,8,8,7.5,,,,,,,,,,,,,,,,,
Blacklock,N/A,7,Feb-25,London,Steak,,,7,7,,,,,,,,,,,,,,,,
Som Saa,N/A,7.75,Feb-25,London,Thai,,,7.5,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/RhQ49Hyj/PXL-20250216-132729893-MP.jpg
https://i.postimg.cc/L5B2R1wc/PXL-20250216-132733938-MP.jpg
https://i.postimg.cc/pVD2KwrP/PXL-20250216-132850721-MP.jpg
https://i.postimg.cc/sx9syhqq/PXL-20250216-134740137-MP-3.jpg
https://i.postimg.cc/7hMwD2dj/PXL-20250216-134834612-MP.jpg"
Santo Remedio,N/A,8.25,Feb-25,London,Mexican,,,8,8.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/MTBzP4D6/PXL-20250222-192818273-MP.jpg
https://i.postimg.cc/zBhqtMjX/PXL-20250222-192821516-MP.jpg
https://i.postimg.cc/fLdM2FKW/PXL-20250222-192826993-MP.jpg"
Lita,N/A,8.25,Feb-25,London,Modern European,,,8,8.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/W30P6ZNb/PXL-20250201-194056342-MP.jpg
https://i.postimg.cc/vB5dLnQp/PXL-20250201-195347840-MP.jpg
https://i.postimg.cc/mD7GN9L4/PXL-20250201-195351258-MP.jpg
https://i.postimg.cc/fLYhjdzn/PXL-20250201-195503448-MP.jpg
https://i.postimg.cc/gJ3Pqhzz/PXL-20250201-195707806-MP-3.jpg
https://i.postimg.cc/gJ3PqhY7/PXL-20250201-200136619-MP.jpg
https://i.postimg.cc/DZ1KdG2M/PXL-20250201-204010211-MP.jpg
https://i.postimg.cc/LXjMBPHw/PXL-20250201-204456240-MP.jpg
https://i.postimg.cc/RFwzQtSB/PXL-20250201-213040764-MP.jpg
https://i.postimg.cc/MT18bB6q/PXL-20250201-213116584-MP.jpg"
Canteen,N/A,8.5,Feb-25,London,Italian,,8.5,,,,8.5,,,,,,,,,,,,,,
Japes,N/A,7.5,Feb-25,London,Pizza,,,7,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/MK2nS0Mj/PXL-20250322-192016005-MP.jpg
https://i.postimg.cc/PrsCjbpD/PXL-20250322-192018899-MP.jpg"
Duck and Waffle,N/A,8,Mar-25,London,Modern European,,,8,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/XYnXZVgd/PXL-20250316-105936756-MP.jpg
https://i.postimg.cc/NjQLygx1/PXL-20250316-105940362-MP.jpg"
Lorne,N/A,8.5,Mar-25,London,Modern European,,,8,9,,,,,,,,,,,,,,,,"https://i.postimg.cc/7ZBPfS67/PXL-20250308-190950246-MP.jpg
https://i.postimg.cc/vZ8HY0QX/PXL-20250308-191930939-MP.jpg
https://i.postimg.cc/W1pbN52X/PXL-20250308-191934375-MP.jpg
https://i.postimg.cc/wjxTqw6w/PXL-20250308-191940363-MP.jpg
https://i.postimg.cc/NjNG5RM8/PXL-20250308-194916935-MP.jpg
https://i.postimg.cc/JzT7Gjnc/PXL-20250308-194919556-MP.jpg"
45 Jermyn Street,N/A,8.75,Mar-25,London,Modern European,,,8.5,9,,,,,,,,,,,,,,,,"https://i.postimg.cc/MZRGdcPW/PXL-20250315-191823974-MP.jpg
https://i.postimg.cc/ZY3qV97S/PXL-20250315-191831266-MP.jpg
https://i.postimg.cc/05mNc6Wq/PXL-20250315-192910478-MP.jpg
https://i.postimg.cc/MHyKT4M3/PXL-20250315-192928033-MP.jpg
https://i.postimg.cc/RCf0X3s4/PXL-20250315-192949474-MP.jpg
https://i.postimg.cc/FzjsRqdP/PXL-20250315-194201990-MP.jpg
https://i.postimg.cc/sxpDX8Q6/PXL-20250315-194212445-MP.jpg
https://i.postimg.cc/rsSFmb0Y/PXL-20250315-194618886-MP.jpg
https://i.postimg.cc/Wpr4XDWV/PXL-20250315-203027928-MP.jpg
https://i.postimg.cc/59vtnH7N/PXL-20250315-203034032-MP.jpg
https://i.postimg.cc/NGT0pyJv/PXL-20250315-203037485-MP.jpg"
Fonda,8.33,8.33,Apr-25,London,Mexican,9,8.5,7.5,,,,,,,,,,,,,,,,,"https://i.postimg.cc/gk86Xtbb/PXL-20250419-202217827-MP.jpg
https://i.postimg.cc/tCWVZvQ8/PXL-20250419-202756545-MP-3.jpg
https://i.postimg.cc/PrY8pVnH/PXL-20250419-202758525-MP-3.jpg
https://i.postimg.cc/y8K3Fh7q/PXL-20250419-202802123-MP.jpg
https://i.postimg.cc/pXznhcMx/PXL-20250419-204658757-MP.jpg
https://i.postimg.cc/Jz8Hb3Mv/PXL-20250419-205116096-MP.jpg
https://i.postimg.cc/QdDKpghv/PXL-20250419-205118253-MP.jpg
https://i.postimg.cc/nhx9vKnJ/PXL-20250419-211033602-MP-2.jpg
https://i.postimg.cc/nhx9vKnn/PXL-20250419-211037916-MP-2.jpg
https://i.postimg.cc/m2CFzpf0/PXL-20250419-211040017-MP-2.jpg
https://i.postimg.cc/cLWtQ7dG/PXL-20250419-215405471-MP.jpg
https://i.postimg.cc/hPT7zZRB/PXL-20250419-215408523-MP.jpg"
Din Tai Fung,N/A,7.5,Apr-25,London,Dim Sum,,,7,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/ryvrpXbw/PXL-20250425-185206414-MP.jpg
https://i.postimg.cc/qB937VYt/PXL-20250425-185210630-MP.jpg
https://i.postimg.cc/xjWzdD7X/PXL-20250425-185705775-MP.jpg
https://i.postimg.cc/Y2JWSKV2/PXL-20250425-185707448-MP.jpg
https://i.postimg.cc/XNTCvSh7/PXL-20250425-185709994-MP.jpg
https://i.postimg.cc/v8pVmFjY/PXL-20250425-190038232-MP.jpg
https://i.postimg.cc/59ZCtdGj/PXL-20250425-192034812-MP.jpg"
Anglothai,N/A,8.7,Apr-25,London,Thai; British Thai,,,8.5,,,,9,8,,,,,,,,,,9,9,"https://i.postimg.cc/YSn4KJY4/PXL-20250405-172020392-MP.jpg
https://i.postimg.cc/YSn4KJYg/PXL-20250405-173043750-MP.jpg
https://i.postimg.cc/BvY89dHL/PXL-20250405-173046615-MP.jpg
https://i.postimg.cc/0NW6RLDS/PXL-20250405-173049184-MP.jpg
https://i.postimg.cc/50XXxnSB/PXL-20250405-173054928-MP.jpg
https://i.postimg.cc/G244cqxq/PXL-20250405-174318947-MP.jpg
https://i.postimg.cc/FRYY9DVP/PXL-20250405-174321480-MP.jpg
https://i.postimg.cc/1t889JrH/PXL-20250405-175950503-MP.jpg
https://i.postimg.cc/V6JJYDWM/PXL-20250405-175952665-MP.jpg
https://i.postimg.cc/50XXxnSS/PXL-20250405-175955553-MP.jpg
https://i.postimg.cc/qRNNkjxG/PXL-20250405-181031121-MP.jpg
https://i.postimg.cc/Jnss1P5b/PXL-20250405-182143864-MP.jpg
https://i.postimg.cc/LXJJHN3J/PXL-20250405-183937729-MP.jpg
https://i.postimg.cc/V6JJYDWn/PXL-20250405-183952644-MP.jpg
https://i.postimg.cc/j5DDsZ4y/PXL-20250405-183956110-MP.jpg
https://i.postimg.cc/d1hhq4jy/PXL-20250405-184023210-MP.jpg
https://i.postimg.cc/1zCghLw0/PXL-20250405-191037663-MP.jpg
https://i.postimg.cc/W3dd2XwD/PXL-20250405-192222465-MP.jpg
https://i.postimg.cc/85771tmf/PXL-20250405-192224810-MP.jpg
https://i.postimg.cc/hGyJWHT9/PXL-20250405-193928209-MP.jpg"
Goodman ,N/A,8.75,Apr-25,London,Steak,,,9,8.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/VvM5tvTR/IMG-1885.jpg
https://i.postimg.cc/2jB1M95M/PXL-20250404-200630279-MP.jpg
https://i.postimg.cc/x8Hqm87g/PXL-20250404-200643158-MP.jpg
https://i.postimg.cc/tRVswvgc/PXL-20250404-202957947-MP.jpg"
Brasserie Blanc,N/A,6.25,May-25,Bournemouth,French,,,5.5,7,,,,,,,,,,,,,,,,
Rick Stein,N/A,6.75,May-25,Poole,Seafood,,,7,6.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/L5Z2WWBD/PXL-20250503-113612634-MP.jpg
https://i.postimg.cc/WzJTyy6n/PXL-20250503-113614409-MP.jpg
https://i.postimg.cc/8crNYYBm/PXL-20250503-115953686-MP.jpg
https://i.postimg.cc/KjgxWWr5/PXL-20250503-115956441-MP.jpg"
Temper ,N/A,7.33,May-25,London,Steak,,,7.5,,,,7,7.5,,,,,,,,,,,,
El Pastor,N/A,7.5,May-25,London,Mexican,,,7,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/s29B6MDm/PXL-20250531-171210482-MP.jpg
https://i.postimg.cc/k5FV12Xp/PXL-20250531-171212877-MP.jpg
https://i.postimg.cc/8CBFK7PH/PXL-20250531-172129568-MP.jpg
https://i.postimg.cc/mrNcXP2y/PXL-20250531-172516797-MP.jpg
https://i.postimg.cc/s29B6MDT/PXL-20250531-172518690-MP.jpg"
Lurra,N/A,8.25,May-25,London,Basque; Spanish,,,8.5,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/k52dhZcC/PXL-20250524-190939770-MP.jpg
https://i.postimg.cc/s2MR08cD/PXL-20250524-191409838-MP.jpg
https://i.postimg.cc/PqCkFc4G/PXL-20250524-191836723-MP.jpg
https://i.postimg.cc/9fDjNSBn/PXL-20250524-192517889-MP.jpg
https://i.postimg.cc/hGXq3w0Y/PXL-20250524-193810079-MP.jpg
https://i.postimg.cc/251fXJxJ/PXL-20250524-195301150-MP.jpg"
Ibai,N/A,8.67,May-25,London,Basque; Spanish,,,8.5,,,,8.5,,,,,,,,,,,,9,"https://i.postimg.cc/G3S45wrk/PXL-20250530-194957559-MP.jpg
https://i.postimg.cc/FFnYB5mp/PXL-20250530-194959950-MP.jpg
https://i.postimg.cc/Zng0B3VR/PXL-20250530-195003897-MP.jpg
https://i.postimg.cc/1RY8jhPD/PXL-20250530-195246794-MP.jpg
https://i.postimg.cc/nVwXPbZB/PXL-20250530-195434758-MP.jpg
https://i.postimg.cc/v8S4NFM0/PXL-20250530-202005622.jpg
https://i.postimg.cc/gj5rXRNj/PXL-20250530-202832974-MP.jpg
https://i.postimg.cc/qqYghnj7/PXL-20250530-205218435-MP.jpg
https://i.postimg.cc/j29CwNZS/PXL-20250530-205221097-MP.jpg
https://i.postimg.cc/ZYDWMtZP/PXL-20250530-205223398-MP.jpg
https://i.postimg.cc/DfYSMkFB/PXL-20250530-205225171-MP.jpg
https://i.postimg.cc/DfYSMkF5/PXL-20250530-205227477-MP.jpg"
Roe,N/A,7.75,Jul-25,London,Modern European,,,8,7.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/7Z3jf4Z0/PXL-20250704-194132741.jpg
https://i.postimg.cc/2SQgVYS4/PXL-20250704-200557166.jpg
https://i.postimg.cc/kgQLBCgS/PXL-20250704-200656794.jpg
https://i.postimg.cc/W1GxhV1m/PXL-20250704-200753506.jpg
https://i.postimg.cc/7Z3jf4ZM/PXL-20250704-201603270.jpg
https://i.postimg.cc/kgQLBCg8/PXL-20250704-204711396.jpg"
Roe,N/A,8,Jun-25,London,Modern European,,,8,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/prdnnPvn/PXL-20250601-133327301-MP.jpg
https://i.postimg.cc/L5sZZmSk/PXL-20250601-133353200-MP.jpg
https://i.postimg.cc/PJq88dHy/PXL-20250601-133758057-MP.jpg
https://i.postimg.cc/x8dbb9Qy/PXL-20250601-134049748-MP.jpg
https://i.postimg.cc/T1PWWTxk/PXL-20250601-134311486-MP.jpg
https://i.postimg.cc/76926fF5/PXL-20250601-134313390-MP.jpg
https://i.postimg.cc/gj066GpV/PXL-20250601-134314807.jpg
https://i.postimg.cc/J0hBBR8J/PXL-20250601-134459619-MP.jpg
https://i.postimg.cc/MHGjjzwQ/PXL-20250601-141218936-MP.jpg
https://i.postimg.cc/j5c75Lpw/PXL-20250601-141221074-MP.jpg
https://i.postimg.cc/76926fFL/PXL-20250601-141806220-MP.jpg
https://i.postimg.cc/xC5zCcwk/PXL-20250601-141808401-MP.jpg
https://i.postimg.cc/4y3hhXGy/PXL-20250601-141810939-MP.jpg"
Roe,N/A,8.25,May-25,London,Modern European,,,8.5,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/vT1ZsTM0/PXL-20250517-173553266-MP.jpg
https://i.postimg.cc/T1y361GH/PXL-20250517-173556460-MP.jpg
https://i.postimg.cc/yxJ8HxsH/PXL-20250517-173659287-MP.jpg
https://i.postimg.cc/zvLGrv5W/PXL-20250517-173700650.jpg
https://i.postimg.cc/pTcL4zNk/PXL-20250517-173845350-MP.jpg
https://i.postimg.cc/T1y361GJ/PXL-20250517-174154371-MP.jpg
https://i.postimg.cc/KjK82jFQ/PXL-20250517-174537097-MP.jpg
https://i.postimg.cc/brGwhrpP/PXL-20250517-174729579-MP.jpg
https://i.postimg.cc/xCp1hMrt/PXL-20250517-181419390-MP.jpg
https://i.postimg.cc/cHkL2wqF/PXL-20250517-181421964-MP.jpg"
Roe,N/A,8.25,May-25,London,Modern European,,,8.5,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/q7kB7j4t/PXL-20250511-132058913-MP.jpg
https://i.postimg.cc/hGS4Gpcd/PXL-20250511-132331820-MP.jpg
https://i.postimg.cc/rp8ypQMt/PXL-20250511-132516892-MP.jpg
https://i.postimg.cc/zGwX59Zf/PXL-20250511-132518885-MP.jpg
https://i.postimg.cc/6pV5wDJq/PXL-20250511-133803819-MP.jpg
https://i.postimg.cc/7Z1YDp8H/PXL-20250511-133936760-MP.jpg
https://i.postimg.cc/g2ykdfFJ/PXL-20250511-141000403-MP.jpg
https://i.postimg.cc/9fWXfJC9/PXL-20250511-141003045-MP.jpg"
Marceline,N/A,7.75,Jun-25,London,French,,,7.5,8,,,,,,,,,,,,,,,,"https://i.postimg.cc/mgTW3kqn/PXL-20250615-120040639.jpg
https://i.postimg.cc/x19VG8hV/PXL-20250615-120042703.jpg
https://i.postimg.cc/y8n4LBCB/PXL-20250615-120044806.jpg
https://i.postimg.cc/0y91Gj3T/PXL-20250615-122519016.jpg
https://i.postimg.cc/g2Gbyj5f/PXL-20250615-122521851.jpg"
Mestizo,6.5,6.5,Jun-25,London,Mexican,6.5,6.5,6.5,,,,,,,,,,,,,,,,,"https://i.postimg.cc/SNsWnfNk/PXL-20250606-185831146-MP.jpg
https://i.postimg.cc/DyZqSPfH/PXL-20250606-185833409-MP.jpg
https://i.postimg.cc/sDXpM4ft/PXL-20250606-190653307-MP.jpg
https://i.postimg.cc/jd5zD4qB/PXL-20250606-192540468-MP.jpg
https://i.postimg.cc/Kvzn1DcV/PXL-20250606-192542587-MP.jpg
https://i.postimg.cc/yYdFDyYH/PXL-20250606-192551486-MP.jpg"
Osteria Angelina,8.67,8.67,Jun-25,London,Fusion,8.5,8.5,9,,,,,,,,,,,,,,,,,"https://i.postimg.cc/pXqq7dyx/PXL-20250613-192303972.jpg
https://i.postimg.cc/5NnnGtj0/PXL-20250613-192355090.jpg
https://i.postimg.cc/J4PPghtG/PXL-20250613-192358877.jpg
https://i.postimg.cc/15JJTzX2/PXL-20250613-193818800-MP.jpg
https://i.postimg.cc/L6NN7s50/PXL-20250613-194002654.jpg
https://i.postimg.cc/J4PPghtC/PXL-20250613-194055755.jpg
https://i.postimg.cc/65YYSQTQ/PXL-20250613-194536698-MP-2.jpg
https://i.postimg.cc/dV34KKTs/PXL-20250613-200434093.jpg
https://i.postimg.cc/BnbMGG16/PXL-20250613-200436100.jpg
https://i.postimg.cc/Dw0BKKby/PXL-20250613-200438721-MP.jpg
https://i.postimg.cc/bwr3jj2s/PXL-20250613-201820946.jpg
https://i.postimg.cc/CLmmtK52/PXL-20250613-201823873-MP.jpg
https://i.postimg.cc/cLCXNN8Z/PXL-20250613-202042833.jpg
https://i.postimg.cc/65YYSQqm/PXL-20250613-210140966.jpg
https://i.postimg.cc/bN33Mvdj/PXL-20250613-210143145.jpg"
The Ambassador's Clubhouse,N/A,7,Jun-25,London,Indian,,,6.5,,,,7,7,,,,,,,,,,7,7.5,"https://i.postimg.cc/fyvBMzKW/PXL-20250614-134836784.jpg
https://i.postimg.cc/QCq0j8bH/PXL-20250614-134840890.jpg
https://i.postimg.cc/sxJw3jcD/PXL-20250614-135347114.jpg
https://i.postimg.cc/HntBTY2J/PXL-20250614-135351676.jpg
https://i.postimg.cc/2yY0pb4L/PXL-20250614-140329341.jpg
https://i.postimg.cc/gjKNGzDz/PXL-20250614-141531366.jpg
https://i.postimg.cc/gjKNGzDj/PXL-20250614-143652397.jpg
https://i.postimg.cc/L5SxdYzZ/PXL-20250614-143655944.jpg
https://i.postimg.cc/6qhYBW0T/PXL-20250614-143657509.jpg
https://i.postimg.cc/7h4KvGgG/PXL-20250614-143659865.jpg"
Camille,N/A,7.5,Jun-25,London,French,,,7.5,7.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/6phwFnnq/PXL-20250621-192344943.jpg
https://i.postimg.cc/T3cGBggK/PXL-20250621-192706753.jpg
https://i.postimg.cc/kgy9LKK5/PXL-20250621-192709013.jpg
https://i.postimg.cc/W4bjVzwd/PXL-20250621-193532786.jpg
https://i.postimg.cc/cJ4ZWCBY/PXL-20250621-195137279.jpg
https://i.postimg.cc/s2Dyzx4Q/PXL-20250621-201202587.jpg
https://i.postimg.cc/s2Dyzx45/PXL-20250621-202416523.jpg
https://i.postimg.cc/0N2xvj0j/PXL-20250621-210121344-2.jpg
https://i.postimg.cc/vmHMyTtc/PXL-20250621-210225461.jpg
https://i.postimg.cc/4x1ZjVVH/PXL-20250621-211452206.jpg"
Sticks & Sushi,N/A,7.5,Jun-25,London,Japanese,,,8,7,,,,,,,,,,,,,,,,"https://i.postimg.cc/cHRccxPh/PXL-20250608-123428370-MP.jpg
https://i.postimg.cc/3RXZZ8zV/PXL-20250608-123432464-MP.jpg
https://i.postimg.cc/3RXZZ8zq/PXL-20250608-124713396-MP.jpg
https://i.postimg.cc/cHRccxPp/PXL-20250608-124715399-MP.jpg
https://i.postimg.cc/cHymYgkk/PXL-20250608-124716895.jpg
https://i.postimg.cc/JnNQQrSq/PXL-20250608-125107364-MP.jpg
https://i.postimg.cc/763NNHjN/PXL-20250608-125108891-MP.jpg
https://i.postimg.cc/bJxRRy4V/PXL-20250608-125110465-MP.jpg
https://i.postimg.cc/FR5ZcdCW/PXL-20250608-125410951-MP.jpg
https://i.postimg.cc/k43c86Yy/PXL-20250608-125706198.jpg
https://i.postimg.cc/mDfwMzp6/PXL-20250608-125707787.jpg
https://i.postimg.cc/V6qFFf2W/PXL-20250608-125709974.jpg
https://i.postimg.cc/85QHWJXw/PXL-20250608-125712008.jpg
https://i.postimg.cc/j50XNw3X/PXL-20250608-131057814.jpg
https://i.postimg.cc/fLnKXtqC/PXL-20250608-131100386.jpg
https://i.postimg.cc/sXYJJjbP/PXL-20250608-131434335.jpg"
